table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
,,2020,2021
United States,"331,449,281","331,501,080","331,893,745"
".Autauga County, Alabama","58,805","58,877","59,095"
".Baldwin County, Alabama","231,767","233,140","239,294"
".Barbour County, Alabama","25,223","25,180","24,964"
".Bibb County, Alabama","22,293","22,223","22,477"
".Blount County, Alabama","59,134","59,081","59,041"
".Bullock County, Alabama","10,357","10,309","10,320"
".Butler County, Alabama","19,051","19,045","18,884"
".Calhoun County, Alabama","116,441","116,266","115,972"
".Chambers County, Alabama","34,772","34,678","34,541"
".Cherokee County, Alabama","24,971","24,958","24,996"
".Chilton County, Alabama","45,014","45,024","45,274"
".Choctaw County, Alabama","12,665","12,619","12,533"
".Clarke County, Alabama","23,087","22,995","22,760"
".Clay County, Alabama","14,236","14,193","14,190"
".Cleburne County, Alabama","15,056","15,035","15,103"
".Coffee County, Alabama","53,465","53,565","54,174"
".Colbert County, Alabama","57,227","57,236","57,474"
".Conecuh County, Alabama","11,597","11,552","11,328"
".Coosa County, Alabama","10,387","10,383","10,450"
".Covington County, Alabama","37,570","37,469","37,524"
".Crenshaw County, Alabama","13,194","13,157","13,083"
".Cullman County, Alabama","87,866","88,044","89,496"
".Dale County, Alabama","49,326","49,214","49,342"
".Dallas County, Alabama","38,462","38,190","37,619"
".DeKalb County, Alabama","71,608","71,630","71,813"
".Elmore County, Alabama","87,977","88,116","89,304"
".Escambia County, Alabama","36,757","36,665","36,699"
".Etowah County, Alabama","103,436","103,393","103,162"
".Fayette County, Alabama","16,321","16,307","16,148"
".Franklin County, Alabama","32,113","32,063","32,013"
".Geneva County, Alabama","26,659","26,675","26,701"
".Greene County, Alabama","7,730","7,704","7,629"
".Hale County, Alabama","14,785","14,792","14,754"
".Henry County, Alabama","17,146","17,167","17,459"
".Houston County, Alabama","107,202","107,190","107,458"
".Jackson County, Alabama","52,579","52,519","52,773"
".Jefferson County, Alabama","674,721","673,341","667,820"
".Lamar County, Alabama","13,972","13,943","13,689"
".Lauderdale County, Alabama","93,564","93,610","94,043"
".Lawrence County, Alabama","33,073","33,063","33,090"
".Lee County, Alabama","174,241","174,601","177,218"
".Limestone County, Alabama","103,570","104,322","107,517"
".Lowndes County, Alabama","10,311","10,297","9,965"
".Macon County, Alabama","19,532","19,476","18,895"
".Madison County, Alabama","388,153","389,696","395,211"
".Marengo County, Alabama","19,323","19,264","18,996"
".Marion County, Alabama","29,341","29,287","29,246"
".Marshall County, Alabama","97,612","97,608","98,228"
".Mobile County, Alabama","414,809","414,250","413,073"
".Monroe County, Alabama","19,772","19,723","19,648"
".Montgomery County, Alabama","228,954","228,448","227,434"
".Morgan County, Alabama","123,421","123,336","123,668"
".Perry County, Alabama","8,511","8,452","8,355"
".Pickens County, Alabama","19,123","19,062","18,801"
".Pike County, Alabama","33,009","32,981","32,991"
".Randolph County, Alabama","21,967","21,971","21,989"
".Russell County, Alabama","59,183","59,226","58,722"
".St. Clair County, Alabama","91,103","91,333","92,748"
".Shelby County, Alabama","223,024","223,708","226,902"
".Sumter County, Alabama","12,345","12,295","12,164"
".Talladega County, Alabama","82,149","82,069","81,524"
".Tallapoosa County, Alabama","41,311","41,229","41,023"
".Tuscaloosa County, Alabama","227,036","227,153","227,007"
".Walker County, Alabama","65,342","65,100","64,818"
".Washington County, Alabama","15,388","15,296","15,147"
".Wilcox County, Alabama","10,600","10,518","10,446"
".Winston County, Alabama","23,540","23,491","23,652"
".Aleutians East Borough, Alaska","3,420","3,418","3,398"
".Aleutians West Census Area, Alaska","5,232","5,206","5,059"
".Anchorage Municipality, Alaska","291,247","290,637","288,121"
".Bethel Census Area, Alaska","18,666","18,648","18,557"
".Bristol Bay Borough, Alaska",844,831,838
".Chugach Census Area, Alaska","7,102","7,073","6,941"
".Copper River Census Area, Alaska","2,617","2,616","2,630"
".Denali Borough, Alaska","1,619","1,611","1,593"
".Dillingham Census Area, Alaska","4,857","4,839","4,772"
".Fairbanks North Star Borough, Alaska","95,655","95,286","95,593"
".Haines Borough, Alaska","2,080","2,085","2,071"
".Hoonah-Angoon Census Area, Alaska","2,365","2,361","2,332"
".Juneau City and Borough, Alaska","32,255","32,195","31,973"
".Kenai Peninsula Borough, Alaska","58,799","58,893","59,767"
".Ketchikan Gateway Borough, Alaska","13,948","13,902","13,754"
".Kodiak Island Borough, Alaska","13,101","13,023","12,787"
".Kusilvak Census Area, Alaska","8,368","8,357","8,360"
".Lake and Peninsula Borough, Alaska","1,476","1,454","1,416"
".Matanuska-Susitna Borough, Alaska","107,081","107,460","110,686"
".Nome Census Area, Alaska","10,046","10,032","9,865"
".North Slope Borough, Alaska","11,031","10,993","10,972"
".Northwest Arctic Borough, Alaska","7,793","7,784","7,560"
".Petersburg Borough, Alaska","3,398","3,401","3,356"
".Prince of Wales-Hyder Census Area, Alaska","5,753","5,725","5,729"
".Sitka City and Borough, Alaska","8,458","8,428","8,407"
".Skagway Municipality, Alaska","1,240","1,239","1,132"
".Southeast Fairbanks Census Area, Alaska","6,808","6,831","6,970"
".Wrangell City and Borough, Alaska","2,127","2,130","2,055"
".Yakutat City and Borough, Alaska",662,683,704
".Yukon-Koyukuk Census Area, Alaska","5,343","5,300","5,275"
".Apache County, Arizona","66,021","65,897","65,623"
".Cochise County, Arizona","125,447","125,398","126,050"
".Coconino County, Arizona","145,101","145,116","145,052"
".Gila County, Arizona","53,272","53,306","53,589"
".Graham County, Arizona","38,533","38,614","39,050"
".Greenlee County, Arizona","9,563","9,522","9,404"
".La Paz County, Arizona","16,557","16,580","16,408"
".Maricopa County, Arizona","4,420,568","4,438,342","4,496,588"
".Mohave County, Arizona","213,267","214,070","217,692"
".Navajo County, Arizona","106,717","106,802","108,147"
".Pima County, Arizona","1,043,433","1,045,599","1,052,030"
".Pinal County, Arizona","425,264","429,583","449,557"
".Santa Cruz County, Arizona","47,669","47,653","47,883"
".Yavapai County, Arizona","236,209","237,067","242,253"
".Yuma County, Arizona","203,881","204,437","206,990"
".Arkansas County, Arkansas","17,149","17,105","16,722"
".Ashley County, Arkansas","19,062","18,960","18,674"
".Baxter County, Arkansas","41,627","41,655","42,144"
".Benton County, Arkansas","284,333","286,353","293,692"
".Boone County, Arkansas","37,373","37,352","37,830"
".Bradley County, Arkansas","10,545","10,498","10,408"
".Calhoun County, Arkansas","4,739","4,725","4,741"
".Carroll County, Arkansas","28,260","28,202","28,435"
".Chicot County, Arkansas","10,208","10,143","10,019"
".Clark County, Arkansas","21,446","21,362","21,321"
".Clay County, Arkansas","14,552","14,508","14,350"
".Cleburne County, Arkansas","24,711","24,665","25,015"
".Cleveland County, Arkansas","7,550","7,544","7,514"
".Columbia County, Arkansas","22,801","22,741","22,672"
".Conway County, Arkansas","20,715","20,729","20,873"
".Craighead County, Arkansas","111,231","111,576","112,218"
".Crawford County, Arkansas","60,133","60,107","60,378"
".Crittenden County, Arkansas","48,163","48,067","47,525"
".Cross County, Arkansas","16,833","16,762","16,681"
".Dallas County, Arkansas","6,482","6,445","6,308"
".Desha County, Arkansas","11,395","11,330","11,090"
".Drew County, Arkansas","17,350","17,309","17,110"
".Faulkner County, Arkansas","123,498","123,666","125,106"
".Franklin County, Arkansas","17,097","17,122","17,173"
".Fulton County, Arkansas","12,075","12,033","12,145"
".Garland County, Arkansas","100,180","100,162","100,330"
".Grant County, Arkansas","17,958","17,975","18,090"
".Greene County, Arkansas","45,736","45,818","46,317"
".Hempstead County, Arkansas","20,065","19,993","19,694"
".Hot Spring County, Arkansas","33,040","33,034","33,148"
".Howard County, Arkansas","12,785","12,755","12,698"
".Independence County, Arkansas","37,938","37,892","37,723"
".Izard County, Arkansas","13,577","13,576","13,911"
".Jackson County, Arkansas","16,755","16,737","16,811"
".Jefferson County, Arkansas","67,260","66,811","65,861"
".Johnson County, Arkansas","25,749","25,692","25,845"
".Lafayette County, Arkansas","6,308","6,294","6,163"
".Lawrence County, Arkansas","16,216","16,196","16,292"
".Lee County, Arkansas","8,600","8,529","8,619"
".Lincoln County, Arkansas","12,941","12,879","13,037"
".Little River County, Arkansas","12,026","11,971","11,944"
".Logan County, Arkansas","21,131","21,097","21,215"
".Lonoke County, Arkansas","74,015","74,042","74,722"
".Madison County, Arkansas","16,521","16,551","16,960"
".Marion County, Arkansas","16,826","16,862","16,978"
".Miller County, Arkansas","42,600","42,570","42,649"
".Mississippi County, Arkansas","40,685","40,503","39,661"
".Monroe County, Arkansas","6,799","6,765","6,683"
".Montgomery County, Arkansas","8,484","8,459","8,611"
".Nevada County, Arkansas","8,310","8,284","8,187"
".Newton County, Arkansas","7,225","7,198","7,204"
".Ouachita County, Arkansas","22,650","22,592","22,306"
".Perry County, Arkansas","10,019","9,997","9,964"
".Phillips County, Arkansas","16,568","16,445","15,906"
".Pike County, Arkansas","10,171","10,165","10,066"
".Poinsett County, Arkansas","22,965","22,893","22,660"
".Polk County, Arkansas","19,221","19,182","19,353"
".Pope County, Arkansas","63,381","63,346","63,789"
".Prairie County, Arkansas","8,282","8,248","8,135"
".Pulaski County, Arkansas","399,125","399,073","397,821"
".Randolph County, Arkansas","18,571","18,581","18,865"
".St. Francis County, Arkansas","23,090","23,046","22,739"
".Saline County, Arkansas","123,416","123,681","125,233"
".Scott County, Arkansas","9,836","9,811","9,822"
".Searcy County, Arkansas","7,828","7,827","7,880"
".Sebastian County, Arkansas","127,799","127,739","128,400"
".Sevier County, Arkansas","15,839","15,778","15,783"
".Sharp County, Arkansas","17,271","17,282","17,622"
".Stone County, Arkansas","12,359","12,364","12,481"
".Union County, Arkansas","39,054","38,925","38,340"
".Van Buren County, Arkansas","15,796","15,765","15,694"
".Washington County, Arkansas","245,871","246,662","250,057"
".White County, Arkansas","76,822","76,810","77,207"
".Woodruff County, Arkansas","6,269","6,200","6,116"
".Yell County, Arkansas","20,263","20,216","20,155"
".Alameda County, California","1,682,353","1,679,844","1,648,556"
".Alpine County, California","1,204","1,198","1,235"
".Amador County, California","40,474","40,541","41,259"
".Butte County, California","211,632","210,083","208,309"
".Calaveras County, California","45,292","45,327","46,221"
".Colusa County, California","21,839","21,853","21,917"
".Contra Costa County, California","1,165,927","1,165,562","1,161,413"
".Del Norte County, California","27,743","27,709","28,100"
".El Dorado County, California","191,185","191,114","193,221"
".Fresno County, California","1,008,654","1,008,966","1,013,581"
".Glenn County, California","28,917","28,893","28,805"
".Humboldt County, California","136,463","136,351","136,310"
".Imperial County, California","179,702","179,489","179,851"
".Inyo County, California","19,016","19,023","18,970"
".Kern County, California","909,235","909,997","917,673"
".Kings County, California","152,486","152,627","153,443"
".Lake County, California","68,163","68,174","68,766"
".Lassen County, California","32,730","32,719","33,159"
".Los Angeles County, California","10,014,009","9,989,165","9,829,544"
".Madera County, California","156,255","156,620","159,410"
".Marin County, California","262,321","261,776","260,206"
".Mariposa County, California","17,131","17,124","17,147"
".Mendocino County, California","91,601","91,354","91,305"
".Merced County, California","281,202","281,726","286,461"
".Modoc County, California","8,700","8,658","8,661"
".Mono County, California","13,195","13,206","13,247"
".Monterey County, California","439,035","438,500","437,325"
".Napa County, California","138,019","137,608","136,207"
".Nevada County, California","102,241","102,199","103,487"
".Orange County, California","3,186,989","3,184,101","3,167,809"
".Placer County, California","404,739","405,741","412,300"
".Plumas County, California","19,790","19,769","19,915"
".Riverside County, California","2,418,185","2,422,764","2,458,395"
".Sacramento County, California","1,585,055","1,586,241","1,588,921"
".San Benito County, California","64,209","64,507","66,677"
".San Bernardino County, California","2,181,654","2,182,740","2,194,710"
".San Diego County, California","3,298,634","3,297,252","3,286,069"
".San Francisco County, California","873,965","870,014","815,201"
".San Joaquin County, California","779,233","780,517","789,410"
".San Luis Obispo County, California","282,424","282,231","283,159"
".San Mateo County, California","764,442","762,453","737,888"
".Santa Barbara County, California","448,229","448,096","446,475"
".Santa Clara County, California","1,936,259","1,930,598","1,885,508"
".Santa Cruz County, California","270,861","270,353","267,792"
".Shasta County, California","182,155","181,893","182,139"
".Sierra County, California","3,236","3,228","3,283"
".Siskiyou County, California","44,076","43,962","44,118"
".Solano County, California","453,491","453,274","451,716"
".Sonoma County, California","488,863","488,345","485,887"
".Stanislaus County, California","552,878","552,710","552,999"
".Sutter County, California","99,633","99,480","99,063"
".Tehama County, California","65,829","65,615","65,498"
".Trinity County, California","16,112","16,088","16,060"
".Tulare County, California","473,117","473,736","477,054"
".Tuolumne County, California","55,620","55,516","55,810"
".Ventura County, California","843,843","842,921","839,784"
".Yolo County, California","216,403","216,255","216,986"
".Yuba County, California","81,575","81,932","83,421"
".Adams County, Colorado","519,572","520,163","522,140"
".Alamosa County, Colorado","16,376","16,362","16,547"
".Arapahoe County, Colorado","655,070","655,112","654,900"
".Archuleta County, Colorado","13,359","13,424","13,790"
".Baca County, Colorado","3,506","3,486","3,514"
".Bent County, Colorado","5,650","5,635","5,759"
".Boulder County, Colorado","330,758","330,811","329,543"
".Broomfield County, Colorado","74,112","74,513","75,325"
".Chaffee County, Colorado","19,476","19,571","20,074"
".Cheyenne County, Colorado","1,748","1,736","1,707"
".Clear Creek County, Colorado","9,397","9,404","9,446"
".Conejos County, Colorado","7,461","7,464","7,612"
".Costilla County, Colorado","3,499","3,506","3,625"
".Crowley County, Colorado","5,922","5,893","6,012"
".Custer County, Colorado","4,704","4,712","5,045"
".Delta County, Colorado","31,196","31,232","31,661"
".Denver County, Colorado","715,522","717,630","711,463"
".Dolores County, Colorado","2,326","2,338","2,397"
".Douglas County, Colorado","357,978","360,102","368,990"
".Eagle County, Colorado","55,731","55,665","55,727"
".Elbert County, Colorado","26,062","26,206","27,128"
".El Paso County, Colorado","730,395","731,847","737,867"
".Fremont County, Colorado","48,939","48,981","49,661"
".Garfield County, Colorado","61,685","61,776","62,161"
".Gilpin County, Colorado","5,808","5,810","5,873"
".Grand County, Colorado","15,717","15,733","15,860"
".Gunnison County, Colorado","16,918","16,945","17,281"
".Hinsdale County, Colorado",788,794,781
".Huerfano County, Colorado","6,820","6,810","6,920"
".Jackson County, Colorado","1,379","1,376","1,363"
".Jefferson County, Colorado","582,910","582,928","579,581"
".Kiowa County, Colorado","1,446","1,452","1,452"
".Kit Carson County, Colorado","7,087","7,064","6,950"
".Lake County, Colorado","7,436","7,409","7,407"
".La Plata County, Colorado","55,638","55,642","56,250"
".Larimer County, Colorado","359,066","359,686","362,533"
".Las Animas County, Colorado","14,555","14,564","14,633"
".Lincoln County, Colorado","5,675","5,669","5,688"
".Logan County, Colorado","21,528","21,495","21,487"
".Mesa County, Colorado","155,703","155,939","157,335"
".Mineral County, Colorado",865,867,924
".Moffat County, Colorado","13,292","13,267","13,185"
".Montezuma County, Colorado","25,849","25,858","26,175"
".Montrose County, Colorado","42,679","42,798","43,168"
".Morgan County, Colorado","29,111","29,065","29,008"
".Otero County, Colorado","18,690","18,667","18,594"
".Ouray County, Colorado","4,874","4,869","5,035"
".Park County, Colorado","17,390","17,421","17,720"
".Phillips County, Colorado","4,530","4,534","4,512"
".Pitkin County, Colorado","17,358","17,342","17,348"
".Prowers County, Colorado","11,999","11,986","11,996"
".Pueblo County, Colorado","168,162","168,467","169,622"
".Rio Blanco County, Colorado","6,529","6,518","6,476"
".Rio Grande County, Colorado","11,539","11,538","11,408"
".Routt County, Colorado","24,829","24,839","25,091"
".Saguache County, Colorado","6,368","6,383","6,471"
".San Juan County, Colorado",705,710,733
".San Miguel County, Colorado","8,072","8,055","8,074"
".Sedgwick County, Colorado","2,404","2,390","2,336"
".Summit County, Colorado","31,055","30,971","30,941"
".Teller County, Colorado","24,710","24,726","24,926"
".Washington County, Colorado","4,817","4,815","4,861"
".Weld County, Colorado","328,981","331,358","340,036"
".Yuma County, Colorado","9,988","9,979","9,941"
".Fairfield County, Connecticut","957,419","955,895","959,768"
".Hartford County, Connecticut","899,498","897,932","896,854"
".Litchfield County, Connecticut","185,186","184,874","185,000"
".Middlesex County, Connecticut","164,245","163,923","164,759"
".New Haven County, Connecticut","864,835","863,498","863,700"
".New London County, Connecticut","268,555","268,248","268,805"
".Tolland County, Connecticut","149,788","149,650","150,293"
".Windham County, Connecticut","116,418","116,240","116,418"
".Kent County, Delaware","181,851","182,256","184,149"
".New Castle County, Delaware","570,719","570,718","571,708"
".Sussex County, Delaware","237,378","238,912","247,527"
".District of Columbia, District of Columbia","689,545","690,093","670,050"
".Alachua County, Florida","278,468","278,684","279,238"
".Baker County, Florida","28,259","28,309","28,715"
".Bay County, Florida","175,216","174,461","179,168"
".Bradford County, Florida","28,303","28,364","28,540"
".Brevard County, Florida","606,612","608,007","616,628"
".Broward County, Florida","1,944,375","1,941,516","1,930,983"
".Calhoun County, Florida","13,648","13,615","13,641"
".Charlotte County, Florida","186,847","187,960","194,843"
".Citrus County, Florida","153,843","154,403","158,083"
".Clay County, Florida","218,245","218,797","222,361"
".Collier County, Florida","375,752","377,079","385,980"
".Columbia County, Florida","69,698","69,889","70,385"
".DeSoto County, Florida","33,976","34,080","34,408"
".Dixie County, Florida","16,759","16,805","17,102"
".Duval County, Florida","995,567","996,373","999,935"
".Escambia County, Florida","321,905","322,424","322,390"
".Flagler County, Florida","115,378","115,968","120,932"
".Franklin County, Florida","12,451","12,456","12,572"
".Gadsden County, Florida","43,826","43,701","43,714"
".Gilchrist County, Florida","17,864","17,928","18,360"
".Glades County, Florida","12,126","12,179","12,234"
".Gulf County, Florida","14,192","14,181","14,363"
".Hamilton County, Florida","14,004","13,988","13,993"
".Hardee County, Florida","25,327","25,313","25,425"
".Hendry County, Florida","39,619","39,707","40,313"
".Hernando County, Florida","194,515","195,508","200,638"
".Highlands County, Florida","101,235","101,222","103,296"
".Hillsborough County, Florida","1,459,762","1,463,380","1,478,194"
".Holmes County, Florida","19,653","19,622","19,784"
".Indian River County, Florida","159,788","160,345","163,662"
".Jackson County, Florida","47,319","47,214","47,694"
