Los Angeles, California,846652.0,6118
Sioux, Iowa,243082.0,2
Crittenden, Arkansas,141410.0,143
Polk, Georgia,180356.0,0
Lee, Iowa,119266.0,27
Fulton, Kentucky,59276.0,1
Webb, Texas,189889.0,39
La Salle, Illinois,158473.0,50
Franklin, Virginia,301604.0,61
Fayette, West Virginia,94318.0,72
Caddo, Oklahoma,85162.0,21
Johnson, Tennessee,172283.0,40
Lucas, Ohio,150132.0,90
Titus, Texas,201211.0,61
Rowan, Kentucky,162967.0,3
Dade, Missouri,150759.0,29
Blount, Tennessee,362595.0,402
Greene, Pennsylvania,166528.0,0
Williamsburg, South Carolina,107883.0,126
Hampton, South Carolina,110058.0,47
Lake, Colorado,425920.0,8
Dallas, Iowa,336619.0,34
Madison, Ohio,270449.0,14
Lee, Georgia,258174.0,51
White, Illinois,94486.0,27
Pike, Arkansas,133325.0,2
Yamhill, Oregon,511874.0,53
Mississippi, Arkansas,113076.0,16
Brown, Texas,178208.0,20
Mcintosh, Oklahoma,130765.0,24
Appling, Georgia,139468.0,20
Camp, Texas,171562.0,4
Meigs, Tennessee,269892.0,49
Mcminn, Tennessee,201043.0,95
Orange, Texas,204502.0,90
Emmet, Michigan,343953.0,20
Tyler, Texas,167001.0,90
Adams, Washington,296042.0,15
Clay, Iowa,162712.0,9
Lowndes, Georgia,188489.0,62
Buena Vista, Iowa,161579.0,11
Baraga, Michigan,165874.0,2
Wahkiakum, Washington,417282.0,4
Bibb, Georgia,148211.0,924
Reeves, Texas,209860.0,3
Pottawatomie, Oklahoma,147203.0,44
Defiance, Ohio,174434.0,13
Harlan, Kentucky,57562.0,3
Tama, Iowa,145308.0,36
York, Pennsylvania,262621.0,3
Brooke, West Virginia,112678.0,3
Fresno, California,389801.0,1213
Flathead, Montana,687099.0,189
Lawrence, Pennsylvania,156476.0,0
Wayne, Kentucky,118638.0,1
Monroe, Ohio,143017.0,7
Dupage, Illinois,361800.0,80
Camden, New Jersey,287162.0,2
Washington, Maryland,297410.0,285
San Patricio, Texas,204011.0,45
Latah, Idaho,496754.0,16
Callahan, Texas,179095.0,9
Broward, Florida,427149.0,313
Cape Girardeau, Missouri,220510.0,38
Lincoln, Montana,388438.0,20
Major, Oklahoma,125904.0,4
Richland, South Carolina,235607.0,1977
Cass, Michigan,210750.0,52
Greene, Indiana,163082.0,2
Hamilton, Florida,158891.0,58
Stark, Illinois,88426.0,6
Webster, Georgia,121137.0,0
Christian, Kentucky,159842.0,22
Cochise, Arizona,241670.0,189
Carlisle, Kentucky,114495.0,0
Tuscaloosa, Alabama,237154.0,215
Texas, Missouri,179940.0,28
Crawford, Illinois,105164.0,1
Otero, Colorado,148856.0,6
Thomas, Kansas,162415.0,7
Greene, Missouri,231387.0,47
Yavapai, Arizona,506134.0,249
Chaves, New Mexico,150179.0,47
Surry, Virginia,240230.0,4
Reagan, Texas,192629.0,6
Judith Basin, Montana,304671.0,2
Bay, Florida,358692.0,357
Oswego, New York,163974.0,51
Warren, New Jersey,349473.0,0
Grays Harbor, Washington,363058.0,43
Grant, Wisconsin,190130.0,41
Sweetwater, Wyoming,309966.0,23
Amherst, Virginia,228411.0,40
Clinton, Missouri,237266.0,18
Richland, Illinois,118760.0,20
Crawford, Indiana,142577.0,28
Butler, Ohio,273026.0,37
Wicomico, Maryland,226674.0,90
Itasca, Minnesota,219075.0,29
Greenbrier, West Virginia,153895.0,2
Montgomery, Kansas,78259.0,11
Hardee, Florida,185578.0,49
Fayette, Illinois,104831.0,2
Mariposa, California,442727.0,107
Madison, Illinois,172856.0,150
Indiana, Pennsylvania,163006.0,2
Umatilla, Oregon,302547.0,61
Walker, Alabama,159444.0,84
Geary, Kansas,193353.0,15
Codington, South Dakota,282236.0,6
White, Tennessee,206599.0,60
Greenwood, South Carolina,163498.0,211
Pike, Pennsylvania,281495.0,0
Hamilton, Iowa,143451.0,5
Barnes, North Dakota,145971.0,1
Taliaferro, Georgia,125294.0,5
Oakland, Michigan,336802.0,25
Champaign, Illinois,191512.0,91
Christian, Missouri,305428.0,53
Meigs, Ohio,116468.0,25
Leon, Florida,272280.0,362
Hall, Georgia,383536.0,267
Claiborne, Tennessee,172794.0,71
